ano,1º,2º,3º,4º,5º,6º,7º,8º,9º
2005,10001,7730,3405,10344,10088,7818,2147,23771,2756
2006,9886,7778,3344,11184,9990,7685,2263,27375,2792
2007,12788,8839,3735,13477,9730,7398,2713,26609,2996
2008,12329,11159,3720,15032,11949,10878,2755,33634,4055
2009,12530,8837,3943,14074,11979,11367,2454,31036,8424
2010,12759,11148,3984,13224,11450,12256,3164,30257,13838
2011,14766,11845,4240,13217,14035,11553,2779,32443,12609
2012,15779,13982,3570,14161,13218,13840,2650,49329,15096
2013,20723,15821,4406,16475,13896,13913,2505,58633,7692
2014,22845,16060,5564,13815,10413,13312,3890,53113,15102
2015,23997,15502,4885,16262,7383,47942,3004,109743,13659
2016,20294,14963,4070,11228,6290,46558,2150,105441,14234
2017,20444,13298,3796,14920,7328,39093,2016,180778,12037
2018,23426,14549,4052,15541,11237,42302,4232,197416,13550
2019,25907,16065,10206,17620,11362,46427,7475,249679,15206
2020,26443,15039,14464,17284,11802,39094,7398,300045,16453
